PROFESSOR_NO,PROFESSOR_NAME,PROFESSOR_SSN,PROFESSOR_ADDRESS,DEPARTMENT_NO
P001,김진영,500530-1102646,"서울시 강서구 등촌1동 대동아파트103-704",052
P002,양윤필,670510-1158493,"서울시 광진구 하양동 111-12",017
P003,신원하,700808-1138187,"인천시 남동구 만수1동 삼한A 204-1102",039
P004,백옥현,530718-2119469,"경기도 연천군 군남면 옥계리 사서함 92-16",043
P005,조경숙,760326-2172045,"서울 강북구 수유1동 461-76",031
P006,김영주,720910-2160684,"경기도 용인시 구성면 언남리 341-7 상록빌라 2-1",052
P007,윤수현,670609-1151597,"경기도 파주시 적성면 구읍리 사서함 95-16",036
P008,홍순연,540101-1162083,"서울시 강남구 역삼동 826-24",022
P009,황헌중,651030-1172881,"서울시 은평구 신사1동 278-6 1층",021
P010,석경환,570315-1153913,"서울시 노원구 공릉 2동 공릉아파트 나동 205호",034
P011,이양희,720822-1139905,"서울 서초구 방배동 436-19",004
P012,유용석,530714-1142531,"경기도 성남시 분당구 야탑동 270 매화마을 화성빌리지 704-401",063
P013,이미경,741016-2103506,"경기도 성남시 수정구 수진2동 삼부아파트103-1505",005
P014,백은정,680228-2158747,"경기도 오산시 원동 한주A 101-103",063
P015,박주홍,580721-1110605,"경기도 포천군·읍 기지리 산호아파트 103-304",009
P016,이은선,680502-2168447,"대전시 중구 용두동 99-4 극동 늘푸른A 102-1033",034
P017,노인순,520602-2175769,"서울시 강동구 고덕1동 8단지 공무원아파트 807-302",008
P018,박재우,511016-1172491,"서울시 종로구 세종로 1번지 대통령경호실",040
P019,성수미,630329-2164116,"서울시 구로구 개봉본동 130-26 2618-0424",024
P020,장남희,451211-2124739,"서울시 마포구 공덕동 188-108 마포현대A 5-203",055
P021,김정연,640219-1151158,"서울 송파구 오금동 94 청일빌라 201호",058
P022,김민나,480218-2178805,"경기도 광명시 광명동159-39  월드빌라101호",027
P023,설주미,620225-2150958,"서울 성동구 용답동235-8 영축빌",028
P024,김현경,580105-2152957,"경기남양주 와부읍 도곡리 쌍용A 102-301",009
P025,홍남수,540304-1112251,"경기도 부천시 오정구 삼정동342-2",005
P026,이경석,650712-1121137,"서울서대문북가좌1동186-60 현대A 101동303호",011
P027,남명길,540103-1151241,"서울 동작구 사당1동 419-125 동산빌라301호",040
P028,김명석,780702-1112968,"서울 서대문구 북아현1동144-1 (계란집)",039
P029,제상철,800304-1139725,"서울 동대문구 휘경동126-9    23/2",002
P030,김하정,680717-1127036,"서울 용산구 이촌2동 시범아파트6동505호",051
P031,조영철,551011-1128999,"서울 강서구 화곡2동 166-23 천우아트빌 402호",042
P032,김은애,680212-2116803,"경기도 고양시 일산구 탄현동 탄현마을A 101-1006",051
P033,백양임,450215-2157723,"서울 영등포구 여의도동 53-12경성B/D 201호 (양자강)",058
P034,박태환,600704-1138184,"경기 안양시 만안구 석수1동373-3백조(A)202동506",026
P035,임진숙,640125-1143548,"서울 서대문구 홍은1동440-1   나동101호",005
P036,최귀화,700619-1127701,"서울 중랑구 망우1동163-62 그린빌라 가동103호",053
P037,박은미,670127-2107141,"경기도 구리시 인창동 아름마을 원일A 102-905",016
P038,송가영,610121-2132322,"서울 강남구 신사동 521-8",007
P039,조창주,710205-1135715,"서울 중구 신당2동432-811 금성빌라201호",045
P040,한은수,681210-1136165,"서울 영등포구 문래동3가16-25     13/11",055
P041,김봉건,710130-1106278,"서울 도구 도봉2동 서원A 103-1302",013
P042,정혜민,730123-2154987,"서울 강동구 천호1동18-174번지",056
P043,임정화,550802-2147267,"서울 강북구 미아4동49-53",049
P044,김해룡,610420-1173679,"경기 용인시 수지읍풍덕천리 동보3차(A)101-1411호",030
P045,정진정,481002-1118264,"경기 용인시 기흥읍 서천리700 서그내마을 SK아 107-1805",050
P046,박준호,721020-1139804,"경기 성남시 수정구 태평동7116번지24호",059
P047,이지호,570904-1174159,"서울 은평구 갈현1동285-84",052
P048,홍부철,540110-1133897,"서울 강북구 미아1동791-2166     7/2",060
P049,이은미,590401-2135186,"경기도 하남시 학암동6번지",032
P050,김선정,561222-2131346,"경기도 부천시 원미구 역곡2동28-16",001
P051,권귀빈,481022-1127584,"인천광역시 연수구 동춘동 풍림2차아파트104동505",004
P052,임해정,530617-1178417,"경기도 부천시 원미구 중2동 꿈마을A 1010동301호",NULL
P053,김기수,480613-2107771,"서울 서초구 방배1동322-1 내방하이츠201호",032
P054,변현주,510117-2105253,"서울 금천구 시흥본동880-40",017
P055,박연국,650722-1121526,"서울 서초구 원지동385-64",058
P056,강용진,650620-1133146,"서울 은평구 대조동39-30   24/7",057
