STUDENT_NO,DEPARTMENT_NO,STUDENT_NAME,STUDENT_SSN,STUDENT_ADDRESS,ENTRANCE_DATE,ABSENCE_YN,COACH_PROFESSOR_NO
9556017,015,서성철,760830-1106432,"전북 전주시 덕진구 진북동 우성아파트 120/1805",1995-03-01,N,P046
9732111,025,정완렬,770828-1125960,서울양천구목동929목동한신아파트108-310,1997-03-01,N,P028
9747034,039,김우성,791017-1125895,전남순천시왕조1동1666주공아파트503-306,1997-03-01,N,P054
9811017,007,김춘진,780808-1125699,"서울 동작구 사당동 1133 동작삼성래미안 110-401",1998-03-01,N,P028
9811176,040,이춘평,790620-1144156,경기도고양시일산구일산동1107후곡마을1209-705,1998-03-01,N,P067
9811200,022,장충미,780807-2123186,"인천 남동구 만수동 13 주공아파트 409-405",1998-03-01,N,P043
9811251,045,김충원,781107-1109023,"전주시 덕진구 인후동2가 1534 동전주 우체국장",1998-03-01,N,P049
9815147,038,박정호,790605-1166722,"전북정읍시 상동564-24",1998-03-01,N,P052
9815210,039,이진원,780808-1137853,"서울 강서구 염창동 삼천리아파트 1003",1998-03-01,N,P001
9815301,013,조정화,790601-2137041,"전주시 완산구 다가동 4가 93",1998-03-01,N,P027
9815302,001,조정훈,800720-1115808,"전주시 완산구 효자1가654 제일효자타운ⓐ 101/505",1998-03-01,N,P064
9815310,021,지정훈,790518-1106220,전주시덕진구진북동우성@111동1402호,1998-03-01,N,P113
9815378,017,최정희,791215-1122553,"전주시 효자동1가 260 상산고등학교",1998-03-01,Y,P071
9817035,046,김소라,790514-2101297,"전주시 완산구 중화산동2가545 은하APT 2-610호",1998-03-01,N,P066
9817071,009,김소정,780924-2140110,"전주시 덕진구 진북동 336-21 도신경외과",1998-03-01,N,P014
9817248,052,손소희,780930-2102104,"전주시 완산구 서신동 대우 대창 @ 102동 505호",1998-03-01,N,P112
9831163,019,이권민,790717-1155437,"충북 청원군 강내면 탑연리 301-1 주은반석아파트 102-1008호",1998-03-01,N,P023
9832037,014,박완용,780612-1170472,서울강동구둔촌동174주공아파트203-303,1998-03-01,N,P069
9845005,032,김우중,800421-1121547,충남천안시두정동1000한성스위트빌103-1303,1998-03-01,Y,P031
9847024,027,박우진,800706-1150009,"충남 공주시 산성동 186-31 안준기 내과의원",1998-03-01,N,P095
9911206,023,임충헌,800827-1136680,서울시중랑구신내동성원아파트103-1007,1999-03-01,N,P102
9915063,041,김제세,790720-1162997,"전북 부안군 부안읍?봉덕리 658-8 부안여자고등학교",1999-03-01,N,P041
9915116,045,문제중,790723-1136245,"전주시 완산구 평화동 코오롱ⓐ 3/1604",1999-03-01,N,P009
9915168,004,손종경,791225-1114066,전주시완산구평화동미송@101/1310,1999-03-01,N,P034
9915261,015,이종대,800117-1163232,"전주시 완산구 중화산동2가 256 우성근영ⓐ 130/1407",1999-03-01,Y,P105
9915335,031,홍종대,790210-1146088,전주완산구서신동아@107/1105,1999-03-01,N,P090
9915349,016,허종명,800807-1113022,"전주시 완산구 효자1가 654 제일효자타운103-1006",1999-03-01,N,P024
9917032,045,김수광,811119-1150891,"김제시 용지면 효정리 220-2",1999-03-01,N,P051
9917045,003,김수련,800905-2172567,"전주시 덕진구 송천동1가 605-4 한양ⓐ 101-1303",1999-03-01,N,P032
9917049,056,김수린,790620-2163047,"전북 익산시 어양동 현대ⓐ 103/1203",1999-03-01,N,P100
9917153,039,이수미,810306-2143752,"전주시 덕진구 인후1가 858-2 아중현대ⓐ 107/1304",1999-03-01,N,P057
9919024,052,김계영,801211-2148346,"경기도 용인시 수지구 풍덕천2동 신정마을 임광 305-1703호",1999-03-01,Y,P041
9931003,055,강민성,791010-1171108,"서울시 동작구 흑석동10 명수대 현대아파트 108-703",1999-03-01,N,P087
9931109,057,박권석,811011-1125595,"서울시 송파구 문정동 훼밀리아파트 217-504",1999-03-01,Y,P097
9931111,001,박규상,800212-1161530,"경기도 성남시 분당구 탑마을 526 경남아파트 710-1302",1999-03-01,N,P002
9931127,022,박규인,800215-1100089,"서울시 강남구 대치동 316 은마 아파트 22동 910호",1999-03-01,N,P027
9931161,024,송근순,790704-1172626,"서울시 송파구 잠실3동 40번지 갤러리아 팰리스 C-4401호",1999-03-01,N,P108
9931165,001,송근우,810125-1175561,"경기도 부천시 원미구 중2동 386-1186 복사골아파트 1701-405",1999-03-01,N,P106
9931190,003,오근우,790619-1165962,"서울시 관악구 신림4동 513-1 3층",1999-03-01,N,P034
9931247,015,이기덕,810127-2116780,"서울시 강동구 상일동 259 동성빌딩3층",1999-03-01,N,P077
9931248,048,이기범,800121-1169369,"경기도 군포시 산본동 한양목련아파트1224-2002",1999-03-01,N,P103
9931261,008,임기범,810205-1170885,"서울시 영등포구 당산동 5가 42 삼성래미안아파트 409-1202",1999-03-01,N,P048
9931277,055,전기성,801210-1105022,"경기도 용인시 수지구 풍덕천동 239-3 중앙빌딩 3층",1999-03-01,N,P036
9931285,047,정기웅,800130-1123937,"경기도 성남시 분당구 야탑동 기산아파트 307-801호",1999-03-01,N,P035
9931290,038,정기원,790123-2126591,"서울시 송파구 가락2동 극동아파트 4-1505",1999-03-01,N,P021
9931310,059,조기현,790802-2129153,"서울시 서초구 서초3동 1446-11 현대수퍼빌 A-602",1999-03-01,N,P024
9931311,056,조기현,790420-1151692,"인천광역시 남동구 간석3동 두진아파트 101-1701호",1999-03-01,N,P060
9931312,038,조기환,791002-1174888,"경기도 시흥시 매화동 194-1 동진아파트 1-305",1999-03-01,Y,P102
9954015,005,박재연,810607-1114149,"익산시 남중동1가 218-1 이리고등학교",1999-03-01,N,P099
9973003,002,김용근,801102-1108795,서울강남구대치동316은마아파트11-1107,1999-03-01,N,P104
9974010,016,박성훈,800113-1137431,서울종로구평동149-11서진빌딩2층충남방적,1999-03-01,N,P053
9995148,010,송정삼,800320-1156135,"경기도 남양주시 도농동 부영그린타운 306-2304",1999-03-01,N,P093
A011032,054,김태광,800409-1152297,목포시산정3동종원나이스101-1002,2000-03-01,Y,P004
